date      , match_type, pitch_type   , ground                                                                       , your_team   , opposition_team, bowler_name         , bowler_type       , wickets, runs , economy, overs, start_time, match_period, weather_time    , temperature_2m, relative_humidity_2m, dew_point_2m, pressure_msl, cloud_cover, wind_speed_10m, wind_direction_10m, wind_gusts_10m, precipitation
2015-11-26, T20       , Dry          , Dubai                                                                        , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  25.0,    6.25,   4.0, 19:00     , night       , 2015-11-26T19:00, 26.4          ,                 40.0, 11.9        ,       1018.2,        75.0,           17.7,               20.0,           30.6,           0.0
2015-11-27, T20       , Dry          , Dubai                                                                        , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  21.0,    5.25,   4.0, 19:00     , night       , 2015-11-27T19:00, 25.2          ,                 62.0, 17.4        ,       1015.8,         6.0,           13.0,              298.0,           25.6,           0.0
2015-11-30, T20       , Dry          , Sharjah                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  29.0,    7.25,   4.0, 19:00     , night       , 2015-11-30T19:00, 25.0          ,                 68.0, 18.8        ,       1016.8,         5.0,           18.9,              352.0,           30.2,           0.0
2016-06-21, ODI       , Flat         , Nottingham                                                                   , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  36.0,    3.6 ,  10.0, 14:30     , day         , 2016-06-21T14:00, 19.4          ,                 56.0, 10.5        ,       1015.6,       100.0,           13.8,              231.0,           31.3,           0.0
2016-06-24, ODI       , Flat         , Birmingham                                                                   , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     2.0,  34.0,    3.4 ,  10.0, 14:30     , day         , 2016-06-24T14:00, 17.0          ,                 69.0, 11.3        ,       1015.4,        47.0,           22.5,              230.0,           47.5,           0.6
2016-06-26, ODI       , Flat         , Bristol                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  34.0,    6.28,   5.0, 14:30     , day         , 2016-06-26T14:00, 16.1          ,                 76.0, 11.8        ,       1018.8,       100.0,           21.1,              261.0,           39.2,           0.2
2016-06-29, ODI       , Slow         , London                                                                       , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     2.0,  41.0,    4.55,   9.0, 10:30     , day         , 2016-06-29T10:00, 16.9          ,                 65.0, 10.3        ,       1009.4,        93.0,           24.9,              211.0,           54.7,           0.0
2016-07-02, ODI       , Flat         , Cardiff                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  52.0,    5.2 ,  10.0, 14:30     , day         , 2016-07-02T14:00, 15.8          ,                 59.0, 7.9         ,       1014.9,        37.0,           27.6,              258.0,           54.0,           0.2
2016-07-05, T20       , Flat         , Southampton                                                                  , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  25.0,    6.25,   4.0, 19:00     , night       , 2016-07-05T19:00, 17.8          ,                 63.0, 10.8        ,       1020.5,        70.0,            9.5,              307.0,           21.2,           0.0
2016-08-24, ODI       , Flat         , Southampton                                                                  , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  51.0,    5.1 ,  10.0, 14:30     , day         , 2016-08-24T14:00, 27.6          ,                 59.0, 18.8        ,       1017.1,        98.0,            8.6,                2.0,           21.2,           0.0
2016-08-27, ODI       , Flat         , Watford                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  51.0,    5.1 ,  10.0, 14:30     , day         , 2016-08-27T14:00, 19.5          ,                 80.0, 16.0        ,       1014.4,        98.0,           19.2,               96.0,           44.6,           0.0
2016-08-30, ODI       , Flat         , Nottingham                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  73.0,    7.3 ,  10.0, 14:30     , day         , 2016-08-30T14:00, 22.4          ,                 59.0, 13.9        ,       1022.6,         3.0,           14.3,              225.0,           31.3,           0.0
2016-09-01, ODI       , Flat         , Leeds                                                                        , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     3.0,  47.0,    4.7 ,  10.0, 14:30     , day         , 2016-09-01T14:00, 19.1          ,                 54.0, 9.7         ,       1020.4,        99.0,           20.7,              239.0,           37.4,           0.0
2016-09-04, ODI       , Flat         , Cardiff                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  51.0,    5.1 ,  10.0, 14:30     , day         , 2016-09-04T14:00, 17.5          ,                 73.0, 12.7        ,       1015.2,        97.0,           21.0,              263.0,           40.3,           0.0
2016-09-07, T20       , Flat         , Manchester                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  29.0,    7.25,   4.0, 19:00     , night       , 2016-09-07T19:00, 20.6          ,                 80.0, 16.9        ,       1012.8,        83.0,            7.4,              133.0,           14.4,           0.0
2017-01-15, ODI       , Flat         , Pune                                                                         , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  50.0,   10.0 ,   5.0, 14:30     , day         , 2017-01-15T14:00, 28.5          ,                 35.0, 11.6        ,       1013.3,        65.0,            5.5,              157.0,           19.4,           0.0
2017-01-19, ODI       , Flat         , Cuttack                                                                      , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  45.0,    9.0 ,   5.0, 14:30     , day         , 2017-01-19T14:00, 28.6          ,                 37.0, 12.6        ,       1015.8,        72.0,           10.4,               46.0,           26.6,           0.0
2017-01-22, ODI       , Flat         , Kolkata                                                                      , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  55.0,    5.5 ,  10.0, 14:30     , day         , 2017-01-22T14:00, 26.5          ,                 36.0, 10.3        ,       1015.9,        66.0,            9.0,              344.0,           22.0,           0.0
2017-01-26, T20       , Flat         , Kanpur                                                                       , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  28.0,    7.0 ,   4.0, 19:00     , night       , 2017-01-26T19:00, 20.6          ,                 72.0, 15.4        ,       1014.5,        23.0,            9.3,               54.0,           15.1,           0.0
2017-01-29, T20       , Slow         , Nagpur                                                                       , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  24.0,    6.0 ,   4.0, 19:00     , night       , 2017-01-29T19:00, 20.2          ,                 52.0, 10.0        ,       1015.1,         0.0,           10.2,              148.0,           11.5,           0.0
2017-02-01, T20       , Flat         , Bengaluru                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  22.0,   11.0 ,   2.0, 19:00     , night       , 2017-02-01T19:00, 21.1          ,                 36.0, 5.6         ,       1014.8,         0.0,           12.1,              100.0,           20.2,           0.0
2017-06-14, ODI       , Slow         , Cardiff                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  54.0,    5.4 ,  10.0, 14:30     , day         , 2017-06-14T14:00, 22.0          ,                 60.0, 13.8        ,       1015.3,        50.0,           16.3,              175.0,           35.6,           0.0
2018-07-03, T20       , Flat         , Manchester                                                                   , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  25.0,    6.25,   4.0, 19:00     , night       , 2018-07-03T19:00, 21.3          ,                 43.0, 8.3         ,       1018.2,         0.0,           14.0,               90.0,           29.2,           0.0
2018-07-06, T20       , Flat         , Cardiff                                                                      , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  29.0,    7.25,   4.0, 19:00     , night       , 2018-07-06T19:00, 19.5          ,                 65.0, 12.8        ,       1022.4,        11.0,           15.9,              273.0,           34.9,           0.0
2018-07-08, T20       , Flat         , Bristol                                                                      , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  32.0,    8.0 ,   4.0, 19:00     , night       , 2018-07-08T19:00, 24.2          ,                 58.0, 15.5        ,       1025.4,         2.0,           13.7,              272.0,           26.6,           0.0
2018-07-12, ODI       , Flat         , Nottingham                                                                   , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  62.0,    6.2 ,  10.0, 14:30     , day         , 2018-07-12T14:00, 20.5          ,                 57.0, 11.6        ,       1022.4,       100.0,            6.2,               54.0,           21.2,           0.0
2018-07-14, ODI       , Flat         , London                                                                       , England     , India          , Adil Rashid         , RightArmLegBreak  ,     2.0,  38.0,    3.8 ,  10.0, 10:30     , day         , 2018-07-14T10:00, 23.0          ,                 59.0, 14.6        ,       1020.9,        38.0,            7.4,              194.0,           20.2,           0.2
2018-07-17, ODI       , Slow         , Leeds                                                                        , England     , India          , Adil Rashid         , RightArmLegBreak  ,     3.0,  49.0,    4.9 ,  10.0, 14:30     , day         , 2018-07-17T14:00, 19.1          ,                 53.0, 9.4         ,       1014.3,        83.0,           16.1,              260.0,           37.4,           0.0
2018-10-10, ODI       , Slow         , Dambulla                                                                     , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,   0.0,    0.0 ,      , 14:30     , day         , 2018-10-10T14:00, 27.8          ,                 73.0, 22.5        ,       1006.7,        96.0,           16.6,              257.0,           33.8,           0.5
2018-10-13, ODI       , Slow         , Dambulla                                                                     , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  24.0,    6.0 ,   4.0, 14:30     , day         , 2018-10-13T14:00, 25.5          ,                 85.0, 22.9        ,       1010.9,       100.0,           18.2,              232.0,           34.9,           0.2
2018-10-17, ODI       , Slow         , Kandy                                                                        , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     4.0,  36.0,    3.6 ,  10.0, 14:30     , day         , 2018-10-17T14:00, 23.8          ,                 94.0, 22.8        ,       1012.6,        98.0,            3.9,              248.0,           25.6,           1.1
2018-10-20, ODI       , Slow         , Kandy                                                                        , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     1.0,  52.0,    5.2 ,  10.0, 14:30     , day         , 2018-10-20T14:00, 23.2          ,                 90.0, 21.5        ,       1011.7,       100.0,            9.0,              307.0,           25.9,           3.3
2018-10-23, ODI       , Slow         , Colombo                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  52.0,    5.2 ,  10.0, 14:30     , day         , 2018-10-23T14:00, 27.7          ,                 81.0, 24.0        ,       1009.5,        99.0,           10.8,              285.0,           24.5,           0.2
2018-10-27, T20       , Slow         , Colombo                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     3.0,  11.0,    2.75,   4.0, 19:00     , night       , 2018-10-27T19:00, 25.6          ,                 88.0, 23.5        ,       1010.4,       100.0,            6.2,               21.0,           11.9,           0.0
2019-05-05, T20       , Flat         , Cardiff                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  27.0,    6.75,   4.0, 19:00     , night       , 2019-05-05T19:00, 8.9           ,                 66.0, 2.9         ,       1025.0,        19.0,            7.9,              313.0,           23.8,           0.0
2019-05-11, ODI       , Flat         , Southampton                                                                  , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,   0.0,    0.0 ,      , 14:30     , day         , 2019-05-11T14:00, 14.6          ,                 50.0, 4.3         ,       1022.6,        28.0,           16.5,              337.0,           34.2,           0.0
2019-05-14, ODI       , Flat         , Bristol                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  78.0,    7.8 ,  10.0, 14:30     , day         , 2019-05-14T14:00, 17.2          ,                 50.0, 6.7         ,       1031.7,        94.0,           15.9,               94.0,           34.6,           0.0
2019-05-17, ODI       , Flat         , Nottingham                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,   0.0,    0.0 ,      , 14:30     , day         , 2019-05-17T14:00, 16.2          ,                 56.0, 7.4         ,       1009.8,        37.0,           24.0,               57.0,           48.6,           0.0
2019-05-19, ODI       , Flat         , Leeds                                                                        , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  54.0,    5.4 ,  10.0, 14:30     , day         , 2019-05-19T14:00, 15.0          ,                 64.0, 8.2         ,       1010.5,        98.0,           10.1,              266.0,           22.7,           0.1
2019-06-03, ODI       , Flat         , Nottingham                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  43.0,    4.3 ,  10.0, 14:30     , day         , 2019-06-03T14:00, 17.0          ,                 49.0, 6.3         ,       1010.4,        90.0,           25.1,              243.0,           48.6,           0.0
2019-06-21, ODI       , Flat         , Leeds                                                                        , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  45.0,    9.0 ,   5.0, 14:30     , day         , 2019-06-21T14:00, 16.2          ,                 51.0, 6.2         ,       1019.2,       100.0,           18.2,              279.0,           36.4,           0.0
2020-08-28, T20       , Flat         , Manchester                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  32.0,    8.0 ,   4.0, 19:00     , night       , 2020-08-28T19:00, 11.9          ,                 73.0, 7.2         ,       1006.8,       100.0,           20.2,                2.0,           40.3,           0.1
2020-08-30, T20       , Flat         , Manchester                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  30.0,    7.5 ,   4.0, 19:00     , night       , 2020-08-30T19:00, 12.6          ,                 69.0, 7.1         ,       1020.9,        98.0,            6.2,              306.0,            9.7,           0.0
2020-09-01, T20       , Flat         , Manchester                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     1.0,  40.0,   10.0 ,   4.0, 19:00     , night       , 2020-09-01T19:00, 14.5          ,                 80.0, 11.1        ,       1018.9,        97.0,            7.1,              165.0,            9.0,           0.0
2021-03-12, T20       , Flat         , Ahmedabad                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  14.0,    4.66,   3.0, 19:00     , night       , 2021-03-12T19:00, 29.9          ,                 20.0, 4.4         ,       1012.0,         0.0,            9.6,              304.0,           22.0,           0.0
2021-03-14, T20       , Flat         , Ahmedabad                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  38.0,    9.5 ,   4.0, 19:00     , night       , 2021-03-14T19:00, 29.8          ,                 19.0, 3.4         ,       1010.0,         0.0,            7.5,              325.0,           10.8,           0.0
2021-03-16, T20       , Flat         , Ahmedabad                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  26.0,    6.5 ,   4.0, 19:00     , night       , 2021-03-16T19:00, 30.6          ,                 16.0, 2.2         ,       1009.0,         0.0,            8.4,              329.0,           12.2,           0.0
2021-03-18, T20       , Flat         , Ahmedabad                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  39.0,    9.75,   4.0, 19:00     , night       , 2021-03-18T19:00, 32.2          ,                 23.0, 8.2         ,       1008.0,        53.0,            5.2,              286.0,           10.1,           0.0
2021-03-20, T20       , Flat         , Ahmedabad                                                                    , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  31.0,    7.75,   4.0, 19:00     , night       , 2021-03-20T19:00, 33.9          ,                 17.0, 5.2         ,       1005.5,         3.0,            3.3,              354.0,            4.3,           0.0
2021-03-23, ODI       , Flat         , Pune                                                                         , England     , India          , Adil Rashid         , RightArmLegBreak  ,     0.0,  66.0,    7.33,   9.0, 14:30     , day         , 2021-03-23T14:00, 28.8          ,                 47.0, 16.5        ,       1012.1,        43.0,           11.2,              228.0,           32.4,           1.5
2021-03-26, ODI       , Flat         , Pune                                                                         , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  65.0,    6.5 ,  10.0, 14:30     , day         , 2021-03-26T14:00, 36.2          ,                 15.0, 5.8         ,       1008.7,         0.0,            4.3,              360.0,           22.0,           0.0
2021-03-28, ODI       , Flat         , Pune                                                                         , England     , India          , Adil Rashid         , RightArmLegBreak  ,     2.0,  81.0,    8.1 ,  10.0, 14:30     , day         , 2021-03-28T14:00, 37.0          ,                 11.0, 2.2         ,       1007.2,         0.0,            5.4,               20.0,           24.5,           0.0
2021-06-23, T20       , Flat         , Cardiff                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     2.0,  17.0,    4.25,   4.0, 19:00     , night       , 2021-06-23T19:00, 15.8          ,                 75.0, 11.3        ,       1023.7,        80.0,           14.1,              266.0,           30.2,           0.0
2021-06-24, T20       , Flat         , Cardiff                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  24.0,    6.0 ,   4.0, 19:00     , night       , 2021-06-24T19:00, 15.8          ,                 77.0, 11.9        ,       1020.7,        45.0,           19.8,              260.0,           43.2,           0.0
2021-06-26, T20       , Flat         , Southampton                                                                  , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  20.0,    5.0 ,   4.0, 19:00     , night       , 2021-06-26T19:00, 17.3          ,                 74.0, 12.6        ,       1016.9,         8.0,            5.4,              110.0,           19.1,           0.0
2021-06-29, ODI       , Green        , Chester-le-Street                                                            , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  45.0,    5.0 ,   9.0, 14:30     , day         , 2021-06-29T14:00, 17.4          ,                 70.0, 11.9        ,       1018.0,       100.0,           15.2,               22.0,           34.6,           0.0
2021-07-01, ODI       , Flat         , London                                                                       , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,  50.0,    5.0 ,  10.0, 10:30     , day         , 2021-07-01T10:00, 17.0          ,                 59.0, 8.9         ,       1018.3,        99.0,            6.5,              326.0,           17.3,           0.0
2021-07-04, ODI       , Flat         , Bristol                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     0.0,   0.0,    0.0 ,      , 14:30     , day         , 2021-07-04T14:00, 17.0          ,                 83.0, 14.0        ,       1004.2,       100.0,           16.8,              208.0,           32.8,           6.1
2021-07-13, ODI       , Flat         , Birmingham                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  54.0,    5.4 ,  10.0, 14:30     , day         , 2021-07-13T14:00, 21.1          ,                 70.0, 15.4        ,       1016.5,        53.0,           11.9,              360.0,           38.2,           0.1
2021-07-16, T20       , Flat         , Nottingham                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  43.0,   10.75,   4.0, 19:00     , night       , 2021-07-16T19:00, 23.1          ,                 70.0, 17.4        ,       1027.6,        62.0,            6.3,              347.0,           15.5,           0.0
2021-07-18, T20       , Flat         , Leeds                                                                        , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  30.0,    7.5 ,   4.0, 19:00     , night       , 2021-07-18T19:00, 23.1          ,                 68.0, 16.9        ,       1023.0,        23.0,            9.6,              283.0,           23.4,           0.0
2021-07-20, T20       , Flat         , Manchester                                                                   , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     4.0,  35.0,    8.75,   4.0, 19:00     , night       , 2021-07-20T19:00, 22.5          ,                 65.0, 15.6        ,       1020.8,         0.0,            6.2,              306.0,           19.1,           0.0
2021-11-01, T20       , Dry          , Sharjah                                                                      , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     2.0,  19.0,    4.75,   4.0, 19:00     , night       , 2021-11-01T19:00, 29.8          ,                 80.0, 26.0        ,       1013.0,         0.0,           13.1,              286.0,           21.2,           0.0
2022-09-20, T20       , Flat         , Karachi                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  27.0,    6.75,   4.0, 19:00     , night       , 2022-09-20T19:00, 27.6          ,                 73.0, 22.2        ,       1005.9,         1.0,           19.9,              248.0,           30.6,           0.0
2022-09-22, T20       , Flat         , Karachi                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  32.0,    8.0 ,   4.0, 19:00     , night       , 2022-09-22T19:00, 28.0          ,                 73.0, 22.6        ,       1006.0,        97.0,           24.4,              256.0,           34.9,           0.0
2022-09-23, T20       , Flat         , Karachi                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     0.0,  32.0,    8.0 ,   4.0, 19:00     , night       , 2022-09-23T19:00, 27.5          ,                 75.0, 22.6        ,       1004.7,        21.0,           27.8,              249.0,           43.6,           0.0
2022-09-25, T20       , Flat         , Karachi                                                                      , England     , Pakistan       , Adil Rashid         , RightArmLegBreak  ,     2.0,  41.0,   10.25,   4.0, 19:00     , night       , 2022-09-25T19:00, 27.9          ,                 78.0, 23.6        ,       1005.4,        18.0,           14.6,              230.0,           25.6,           0.0
2022-11-05, T20       , Slow         , Sydney                                                                       , England     , Sri Lanka      , Adil Rashid         , RightArmLegBreak  ,     1.0,  16.0,    4.0 ,   4.0, 19:00     , night       , 2022-11-05T19:00, 18.0          ,                 68.0, 12.0        ,       1026.3,        14.0,           14.8,               49.0,           34.9,           0.0
2022-11-10, T20       , Flat         , Adelaide                                                                     , England     , India          , Adil Rashid         , RightArmLegBreak  ,     1.0,  20.0,    5.0 ,   4.0, 19:00     , night       , 2022-11-10T19:00, 17.8          ,                 83.0, 14.9        ,       1010.6,        56.0,           14.1,              195.0,           30.6,           0.0
